year,month,day
2012,1,1
2012,1,2
2012,1,3
2012,1,4
2012,1,5
2012,1,6
2012,1,7
2012,1,8
2012,1,9
2012,1,10
2012,1,11
2012,1,12
2012,1,13
2012,1,14
2012,1,15
2012,1,16
2012,1,17
2012,1,18
2012,1,19
2012,1,20
2012,1,21
2012,1,22
2012,1,23
2012,1,24
2012,1,25
2012,1,26
2012,1,27
2012,1,28
2012,1,29
2012,1,30
2012,1,31
2012,2,1
2012,2,2
2012,2,3
2012,2,4
2012,2,5
2012,2,6
2012,2,7
2012,2,8
2012,2,9
2012,2,10
2012,2,11
2012,2,12
2012,2,13
2012,2,14
2012,2,15
2012,2,16
2012,2,17
2012,2,18
2012,2,19
2012,2,20
2012,2,21
2012,2,22
2012,2,23
2012,2,24
2012,2,25
2012,2,26
2012,2,27
2012,2,28
2012,2,29
2012,3,1
2012,3,2
2012,3,3
2012,3,4
2012,3,5
2012,3,6
2012,3,7
2012,3,8
2012,3,9
2012,3,10
2012,3,11
2012,3,12
2012,3,13
2012,3,14
2012,3,15
2012,3,16
2012,3,17
2012,3,18
2012,3,19
2012,3,20
2012,3,21
2012,3,22
2012,3,23
2012,3,24
2012,3,25
2012,3,26
2012,3,27
2012,3,28
2012,3,29
2012,3,30
2012,3,31
2012,4,1
2012,4,2
2012,4,3
2012,4,4
2012,4,5
2012,4,6
2012,4,7
2012,4,8
2012,4,9
