precipitation,temp_max,start_date,end_date,day,year,month
0.0,12.8,2012-01-02,2012-01-06,1,2012,1
10.9,10.6,2012-01-03,2012-01-07,2,2012,1
0.8,11.7,2012-01-04,2012-01-08,3,2012,1
20.3,12.2,2012-01-05,2012-01-09,4,2012,1
1.3,8.9,2012-01-06,2012-01-10,5,2012,1
2.5,4.4,2012-01-07,2012-01-11,6,2012,1
0.0,7.2,2012-01-08,2012-01-12,7,2012,1
0.0,10.0,2012-01-09,2012-01-13,8,2012,1
4.3,9.4,2012-01-10,2012-01-14,9,2012,1
1.0,6.1,2012-01-11,2012-01-15,10,2012,1
0.0,6.1,2012-01-12,2012-01-16,11,2012,1
0.0,6.1,2012-01-13,2012-01-17,12,2012,1
0.0,5.0,2012-01-14,2012-01-18,13,2012,1
4.1,4.4,2012-01-15,2012-01-19,14,2012,1
5.3,1.1,2012-01-16,2012-01-20,15,2012,1
2.5,1.7,2012-01-17,2012-01-21,16,2012,1
8.1,3.3,2012-01-18,2012-01-22,17,2012,1
19.8,0.0,2012-01-19,2012-01-23,18,2012,1
15.2,-1.1,2012-01-20,2012-01-24,19,2012,1
13.5,7.2,2012-01-21,2012-01-25,20,2012,1
3.0,8.3,2012-01-22,2012-01-26,21,2012,1
6.1,6.7,2012-01-23,2012-01-27,22,2012,1
0.0,8.3,2012-01-24,2012-01-28,23,2012,1
8.6,10.0,2012-01-25,2012-01-29,24,2012,1
8.1,8.9,2012-01-26,2012-01-30,25,2012,1
4.8,8.9,2012-01-27,2012-01-31,26,2012,1
0.0,6.7,2012-01-28,2012-02-01,27,2012,1
0.0,6.7,2012-01-29,2012-02-02,28,2012,1
27.7,9.4,2012-01-30,2012-02-03,29,2012,1
3.6,8.3,2012-01-31,2012-02-04,30,2012,1
1.8,9.4,2012-02-01,2012-02-05,31,2012,1
13.5,8.9,2012-02-02,2012-02-06,1,2012,2
0.0,8.3,2012-02-03,2012-02-07,2,2012,2
0.0,14.4,2012-02-04,2012-02-08,3,2012,2
0.0,15.6,2012-02-05,2012-02-09,4,2012,2
0.0,13.9,2012-02-06,2012-02-10,5,2012,2
0.0,16.1,2012-02-07,2012-02-11,6,2012,2
0.3,15.6,2012-02-08,2012-02-12,7,2012,2
2.8,10.0,2012-02-09,2012-02-13,8,2012,2
2.5,11.1,2012-02-10,2012-02-14,9,2012,2
2.5,12.8,2012-02-11,2012-02-15,10,2012,2
0.8,8.9,2012-02-12,2012-02-16,11,2012,2
1.0,8.3,2012-02-13,2012-02-17,12,2012,2
11.4,7.2,2012-02-14,2012-02-18,13,2012,2
2.5,6.7,2012-02-15,2012-02-19,14,2012,2
0.0,7.2,2012-02-16,2012-02-20,15,2012,2
1.8,7.2,2012-02-17,2012-02-21,16,2012,2
17.3,10.0,2012-02-18,2012-02-22,17,2012,2
6.4,6.7,2012-02-19,2012-02-23,18,2012,2
0.0,6.7,2012-02-20,2012-02-24,19,2012,2
3.0,7.8,2012-02-21,2012-02-25,20,2012,2
0.8,10.0,2012-02-22,2012-02-26,21,2012,2
8.6,10.0,2012-02-23,2012-02-27,22,2012,2
0.0,8.3,2012-02-24,2012-02-28,23,2012,2
11.4,6.7,2012-02-25,2012-02-29,24,2012,2
0.0,7.2,2012-02-26,2012-03-01,25,2012,2
1.3,5.0,2012-02-27,2012-03-02,26,2012,2
