code	continent	mobile_subs_1990	mobile_subs_1991	mobile_subs_1992	mobile_subs_1993	mobile_subs_1994	mobile_subs_1995	mobile_subs_1996	mobile_subs_1997	mobile_subs_1998	mobile_subs_1999	mobile_subs_2000	mobile_subs_2001	mobile_subs_2002	mobile_subs_2003	mobile_subs_2004	mobile_subs_2005	mobile_subs_2006	mobile_subs_2007	mobile_subs_2008	mobile_subs_2009	mobile_subs_2010	mobile_subs_2011	mobile_subs_2012	mobile_subs_2013	mobile_subs_2014	mobile_subs_2015	mobile_subs_2016	mobile_subs_2017	gdp_per_cap_1990	gdp_per_cap_1991	gdp_per_cap_1992	gdp_per_cap_1993	gdp_per_cap_1994	gdp_per_cap_1995	gdp_per_cap_1996	gdp_per_cap_1997	gdp_per_cap_1998	gdp_per_cap_1999	gdp_per_cap_2000	gdp_per_cap_2001	gdp_per_cap_2002	gdp_per_cap_2003	gdp_per_cap_2004	gdp_per_cap_2005	gdp_per_cap_2006	gdp_per_cap_2007	gdp_per_cap_2008	gdp_per_cap_2009	gdp_per_cap_2010	gdp_per_cap_2011	gdp_per_cap_2012	gdp_per_cap_2013	gdp_per_cap_2014	gdp_per_cap_2015	gdp_per_cap_2016	gdp_per_cap_2017	total_pop_1990	total_pop_1991	total_pop_1992	total_pop_1993	total_pop_1994	total_pop_1995	total_pop_1996	total_pop_1997	total_pop_1998	total_pop_1999	total_pop_2000	total_pop_2001	total_pop_2002	total_pop_2003	total_pop_2004	total_pop_2005	total_pop_2006	total_pop_2007	total_pop_2008	total_pop_2009	total_pop_2010	total_pop_2011	total_pop_2012	total_pop_2013	total_pop_2014	total_pop_2015	total_pop_2016	total_pop_2017
AFG	Asia	0	0	0	0	0	0	0	0	0	0	0	0	0.113740161874088	0.867120277516642	2.48766749206092	4.78644517019363	9.73360444436721	17.5381616236848	28.9400601911825	37.4942004506374	35.4677664438775	46.4440581664588	49.9727530004765	52.9664731356239	56.1913326873846	58.420528226792	62.3354168186364	67.3505726035356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1063.63557365313	1099.19450675044	1062.24936045108	1136.12321410151	1161.12488912197	1284.77521302624	1298.14315888036	1531.17399271735	1614.25500126115	1660.73985617959	1839.27357927778	1848.70002621394	1838.96024371997	1809.01648837218	1802.69556548499	1803.98748708124	13032161	14069854	15472076	17053213	18553819	19789880	20684982	21299350	21752257	22227543	22856302	23677385	24639841	25678639	26693486	27614718	28420974	29145841	29839994	30577756	31411743	32358260	33397058	34499915	NA	NA	NA	NA
ALB	Europe	0	0	0	0	0	0	0.0743800263111258	0.106691117253215	0.180426379754356	0.353321504594977	0.954237228416673	12.5752303991022	27.2841323373396	35.3583488293976	40.6614872034417	49.6964937731778	62.530387178076	76.8024942566025	62.1607266355601	83.1604635738118	91.5609287457172	105.922828727228	119.861412809897	126.2764912925	115.02611464423	116.337512554082	115.152264870754	119.376340144844	4722.83816576759	3345.50404927247	3123.51250298198	3444.32179181322	3753.16990379019	4278.68966272931	4697.15323281589	4214.35815259863	4623.02640073499	5280.52786659886	5668.57477726735	6176.37067804796	6457.0500213448	6855.44887574892	7277.21490788601	7733.006932655	8204.5882455338	8754.56951284933	9153.78820562203	9524.64930321377	9927.18184117512	10207.7646993323	10369.8233819184	10492.8062825121	10701.1207857986	10970.4522447693	11356.3413288171	11803.4305936025	3289483	3291695	3266983	3224901	3179442	3141102	3112597	3091902	3079037	3072725	3071856	3077378	3089778	3106701	3124861	3141800	3156607	3169665	3181397	3192723	3204284	3215988	3227373	3238316	NA	NA	NA	NA
DZA	Africa	0.00181380573993877	0.0180045972918389	0.0175894318308159	0.0172063464894644	0.00475279590799786	0.0162294202751439	0.0397804729898239	0.0582196062956006	0.0593359672349426	0.234027516370306	0.275785459436128	0.316534298881118	1.40723035684962	4.46533977765498	14.8713098094563	41.0393404772955	62.164742850469	80.3576091201664	77.541358517747	92.2856975291098	90.7594397717658	96.7309982374042	99.8984609610959	103.073884200456	110.699326339346	108.417322255621	115.848053881229	120.705788270925	10236.840658348	9869.48837022995	9815.46382267098	9400.05442441546	9126.2716238864	9295.42011356466	9509.68765695727	9461.35511679608	9796.73993556183	9968.96771197831	10211.0018566908	10382.1868362393	10826.4876450259	11459.8935602271	11797.1848486236	12322.4842607049	12348.4812120361	12570.6547026998	12660.4032440006	12647.5403044562	12870.6026985154	12990.345016498	13161.9616734309	13253.6154761387	13483.3378622219	13724.723852895	13921.1800218255	13913.8393634819	25299182	25930560	26557969	27169903	27751086	28291591	28786855	29242917	29673694	30099010	30533827	30982214	31441848	31913462	32396048	32888449	33391954	33906605	34428028	34950168	35468208	35980193	36485828	36983924	NA	NA	NA	NA
ASM	Oceania	0	0	1.41148952473131	1.77444794952681	2.31646815821478	2.36437920859499	2.41057686958779	2.54818805627855	2.68331514641956	3.17068874405496	3.46308304793032	3.70605930382467	3.46665304524016	3.55227768662145	3.79657127429806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47052	48402	49648	50801	51885	52919	53901	54834	55745	56667	57625	58633	59687	60774	61871	62962	64045	65130	66217	67312	68420	69543	70680	71834	NA	NA	NA	NA
AND	Europe	0	0	1.30756690667029	1.27929671483164	1.25085757135791	4.42443226311668	8.52703542573027	13.3971738150388	22.0089800754576	32.0024856299518	36.0039761431412	43.7014597347827	46.8100900798013	70.90951326829	76.5515975027543	81.8593328007912	85.1995900779099	76.8029703808522	76.5576370422485	76.4237171745874	77.555684495968	77.6635502859667	77.4769200907426	79.1342773679259	83.61334460952	91.4399979490861	98.5132179966615	104.38121223933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52773	54996	57767	60670	63111	64699	65227	64905	64246	63985	64634	66390	69043	72203	75292	77888	79874	81390	82577	83677	84864	86165	87518	88909	NA	NA	NA	NA
AGO	Africa	0	0	0	0.00820666838061692	0.0131779519858718	0.0139743558655922	0.0224624452162892	0.0467360917215019	0.0633371941932564	0.1504724269936	0.156961980968953	0.441611171844096	0.796692632966151	1.92272100840235	3.92245913168628	8.2399413846036	15.0753126517744	23.6289644664196	31.1283848558463	35.9626780972584	40.2384025319555	49.8510873786287	50.9445034397706	51.1001779344374	52.2002776623555	49.8380415448268	45.121698839185	44.7349773754152	3430.79842677176	3359.37479433897	3062.04269585648	2252.0516075095	2210.06678623968	2465.39661937211	2720.52132873595	2839.75871738723	2893.33447211675	2873.88392356747	2873.19300963682	2898.42809473305	3184.02073557526	3213.67665424078	3418.3252910714	3987.81493621439	4578.82771829926	5443.11793253444	5978.32324902683	5908.04224811631	5897.68284059848	5911.25409210655	5999.90210602209	6188.0037558835	6257.15287433489	6227.664689061	5972.451512997	5819.49497145261	10335052	10653515	11002910	11371750	11742960	12105105	12452725	12792237	13138265	13511575	13926373	14388244	14890474	15419943	15957460	16489021	17010366	17525367	18037964	18555115	19081912	19618432	20162517	20714494	NA	NA	NA	NA
AIA	Americas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8332	8669	8985	9277	9549	9805	10036	10244	10461	10727	11068	11498	12003	12548	13083	13574	14008	14393	14737	15055	15358	15645	15911	16158	NA	NA	NA	NA
ATG	Americas	0	NA	NA	NA	NA	NA	1.71894007510446	1.80089787622686	1.87849870383589	10.3872615512459	26.3208269525268	29.3920547397627	44.2874365335126	52.8106491929479	61.1849485026683	96.3553045835994	122.010830444846	122.980707149189	147.702156188499	144.179908314722	177.443720222689	183.879898452763	131.623216260062	116.901782793588	121.406826801517	176.135624430812	178.283133425116	NA	16381.018356894	16585.6715162132	16503.1720979053	16999.1768058194	17683.7510162052	16476.3332796269	17097.9758766223	17543.7315286641	17887.8075742041	18102.2030900696	18908.4943497905	17660.5222059553	17591.3404932158	18437.5085744652	19282.2300777704	20289.710866338	22606.8409092144	24408.1815224456	24111.3770844998	20942.3011801149	19212.7201307541	18605.3167543472	19047.2002426242	18823.754452753	19573.8341184873	20154.9474879241	21013.0176273358	21490.9426586166	62202	62754	63802	65238	66895	68642	70450	72322	74190	75985	77656	79165	80507	81716	82838	83916	84952	85935	86881	87802	88710	89612	90510	91404	NA	NA	NA	NA
ARG	Americas	0.0366639037359876	0.0753150019831946	0.138433489720489	0.328340630654989	0.697847669064126	1.15844307673703	1.88319025563245	5.60661589007905	7.36960492075541	10.5022425738787	17.5078146225488	17.9917787671695	17.3313517749173	20.4707912388765	34.8898475693579	56.6002038344751	79.6543836290654	101.079671207247	115.170932556764	128.636134343815	138.468978509039	145.768791272145	152.809097635805	158.348927507512	142.466397473426	142.434809806539	145.330506257721	139.814600248501	10815.7151226019	12015.6271048557	13266.0528630404	13861.946177794	14481.1082032399	13893.5226589826	14485.5076845653	15479.3791285386	15894.5580528952	15186.130197286	14899.8700458711	14085.5751760246	12412.6059887095	13361.4000434323	14410.1505153775	15518.6785097698	16592.264892395	17900.7063421587	18436.8624668727	17168.3789365496	18712.0630773436	19629.3518451916	19224.8743997107	19482.190295091	18797.5479465897	19116.9079145132	18584.580004917	18933.9071474396	32642442	33093579	33540023	33982035	34420352	34855160	35287113	35714929	36134642	36541029	36930709	37302116	37657340	38001251	38340778	38681174	39023850	39368066	39714298	40062470	40412376	40764561	41118986	41473982	NA	NA	NA	NA
ARM	Asia	0	0	0	0	0	0	0.00946905434132469	0.159587065276855	0.251907237918039	0.264194078569331	0.569652995776632	0.836017183195084	2.35172782727957	3.79013760327867	6.77558444743939	10.6681103520358	42.5811052898428	63.9746053263218	49.5835940884802	75.8676223367574	134.339110370759	111.671867354806	115.299338427619	115.647644434491	119.025297465436	118.770976533708	117.428480971111	119.043969356242	3742.43737068264	3335.60189918844	1976.52923651447	1845.31970707182	1992.01948539874	2173.36283006068	2336.51656159442	2441.18183351899	2639.94931837894	2744.43020482128	2924.7473797168	3224.14127527107	3669.44339048777	4206.97511756609	4673.98472583689	5356.61442371328	6110.22619140708	7010.62705596386	7558.36164780203	6532.96423059787	6702.84800627941	7022.10394338388	7511.13248214738	7727.92909156213	7971.11792762162	8195.93364956571	8190.23928885988	8787.57993972036	3544695	3512051	3449940	3370373	3290540	3223173	3172185	3134836	3109101	3090624	3076098	3065810	3061067	3060554	3062612	3065954	3069844	3074181	3079087	3084979	3092072	3100236	3108972	3117722	NA	NA	NA	NA
